# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
645.0000 MA118 1000 12 55.0000 beacon43 c85 29 N beacon43->c114->c105->c88->c61->c170->c131->c81->c16->c92->c101->c205->c85
649.3000 MA120 1000 5 49.3000 beacon65 c11 29 N beacon65->c142->c137->c178->c14->c11
664.8000 MA132 1000 4 4.8000 beacon10 c77 29 N beacon10->c76->c119->c207->c77
671.3000 MA123 1000 9 56.3000 beacon87 c120 29 N beacon87->c24->c175->beacon21->c80->c114->c14->c20->c167->c120
672.8000 MA105 1000 12 147.8000 beacon43 c116 27 N beacon43->c140->c88->c61->c105->c131->c98->c16->c92->c37->c113->c153->c116
676.2000 MA112 1000 9 116.2000 beacon87 c51 28 N beacon87->c19->c175->beacon21->c80->c114->c60->c123->c142->c51
679.4000 MA128 1000 10 39.4000 beacon10 c27 29 N beacon10->c17->c25->c80->c110->c21->c179->c122->c109->c135->c27
681.1000 MA111 1000 19 126.1000 beacon43 c48 27 N beacon43->c114->c105->c88->c61->c170->c131->c81->c16->c92->c101->c205->beacon109->c82->c153->c116->c74->c174->c57->c48
685.6000 MA117 1000 12 100.6000 beacon65 c58 28 N beacon65->c155->c14->c23->c104->c121->c34->c101->c200->c158->c192->beacon109->c58
695.0000 MA126 1000 18 65.0000 beacon10 c52 28 N beacon10->c207->c90->c17->c25->c80->c110->c21->c179->c122->c109->c135->c27->c142->c199->c121->c167->c193->c52
695.9000 MA113 1000 4 130.9000 beacon65 c82 27 N beacon65->c155->c14->c20->c82
696.6000 MA129 1000 18 51.6000 beacon43 c204 29 N beacon43->c105->c166->c172->c190->c200->c66->c27->c135->c109->c196->c17->c33->c77->c207->c18->c173->beacon76->c204
699.2000 MA137 1000 16 14.2000 beacon21 c10 29 N beacon21->c73->c122->c199->c121->c142->c189->c34->c101->c200->c192->c37->c49->c97->beacon109->c158->c10
703.8000 MA124 1000 11 83.8000 beacon10 c159 28 N beacon10->c173->c90->c145->c77->c133->c74->c128->c22->c42->c153->c159
704.7000 MA130 1000 8 54.7000 beacon54 c22 29 N beacon54->c99->c91->c109->c167->c77->c81->c140->c22
720.7000 MA119 1000 11 125.7000 beacon10 c129 27 N beacon10->c38->c196->c158->c167->c114->c159->c165->c111->c41->c181->c129
733.5000 MA141 1000 4 28.5000 beacon87 c81 29 N beacon87->c24->c98->c192->c81
739.9000 MA127 1000 8 104.9000 beacon32 c106 28 N beacon32->c182->c149->c10->c104->c190->c34->c159->c106
746.1000 MA125 1000 20 121.1000 beacon65 c161 27 N beacon65->c178->c162->c69->c196->c60->c123->c91->c135->c199->c134->c55->c188->c30->beacon98->c90->c204->c166->c42->c180->c161
747.7000 MA134 1000 17 77.7000 beacon54 c128 28 N beacon54->c88->c91->c109->c167->c121->c196->c73->beacon21->c199->c134->c55->c188->c30->beacon98->c90->c204->c128
750.1000 MA122 1000 26 140.1000 beacon54 c95 27 N beacon54->c65->c20->c88->c118->c193->c52->c157->c177->c132->c167->c139->c135->c41->c21->c73->beacon21->c196->c80->c110->beacon76->c18->c62->c45->c201->c145->c95
753.9000 MA149 1000 3 8.9000 beacon21 c16 29 N beacon21->c73->c24->c16
763.9000 MA138 1000 5 73.9000 beacon87 c28 28 N beacon87->c176->c134->c39->c23->c28
766.0000 MA150 1000 5 16.0000 beacon76 c39 29 N beacon76->c173->c46->c185->c21->c39
775.1000 MA155 1000 1 0.1000 beacon98 c13 29 N beacon98->c13
775.4000 MA153 1000 5 10.4000 beacon10 c182 29 N beacon10->c70->c31->c47->c136->c182
792.7000 MA145 1000 15 67.7000 beacon65 c51 28 N beacon65->c178->c177->c171->c28->c23->c138->c42->c45->beacon76->c189->c19->c157->c124->c16->c51
797.7000 MA144 1000 12 77.7000 beacon32 c60 28 N beacon32->c158->c123->c34->c157->c16->c73->c183->c17->c116->c13->c135->c60
807.3000 MA135 1000 12 132.3000 beacon87 c41 27 N beacon87->c176->c173->beacon76->c18->c207->c27->c23->c196->c17->c123->c11->c41
810.2000 MA143 1000 7 95.2000 beacon87 c108 28 N beacon87->c24->c98->c192->c141->c181->c87->c108
816.6000 MA151 1000 6 61.6000 beacon65 c189 28 N beacon65->c178->c173->c138->c37->c147->c189
818.3000 MA163 1000 5 3.3000 beacon65 c107 29 N beacon65->c129->c141->c108->c87->c107
818.8000 MA133 1000 10 153.8000 beacon32 c59 27 N beacon32->c82->c153->c116->c74->c174->c57->c48->c25->c30->c59
822.6000 MA154 1000 22 52.6000 beacon43 c126 29 N beacon43->c122->c125->c77->c54->c89->c24->c100->c123->c58->c73->c170->c130->c132->c98->c124->c16->c51->c176->c171->c207->c34->c126
822.7000 MA136 1000 21 142.7000 beacon54 c91 27 N beacon54->c88->c61->c163->c144->c156->c134->c73->c193->c75->c52->c46->c55->c60->beacon98->c13->c128->c70->c119->beacon10->c68->c91
829.4000 MA164 1000 16 9.4000 beacon10 c14 29 N beacon10->c57->c135->c128->c60->c13->c99->c39->c88->c124->c162->c31->c90->c132->c142->c156->c14
830.4000 MA139 1000 7 135.4000 beacon10 c145 27 N beacon10->c12->c55->c80->c21->c23->c169->c145
830.7000 MA131 1000 4 175.7000 beacon65 c202 27 N beacon65->c69->c44->c79->c202
830.8000 MA102 1000 9 320.8000 beacon21 c202 24 N beacon21->c77->c95->c199->c191->c152->c158->c53->c79->c202
831.5000 MA152 1000 3 71.5000 beacon76 c93 28 N beacon76->c173->c176->c93
832.5000 MA160 1000 14 32.5000 beacon43 c128 29 N beacon43->c111->c116->c170->c142->c167->c182->c148->c17->c124->c39->c88->c193->c157->c128
833.1000 MA158 1000 16 43.1000 beacon10 c199 29 N beacon10->c39->c128->c57->c116->c157->c99->c113->c124->c58->c132->c75->c167->c170->c85->c156->c199
836.8000 MA142 1000 22 126.8000 beacon54 c26 27 N beacon54->c99->c88->c89->c100->c109->c24->c183->c30->c114->c67->c197->c176->c50->beacon76->c173->c23->c37->c191->c81->c147->c161->c26
838.6000 MA146 1000 23 108.6000 beacon87 c202 28 N beacon87->c19->c189->c162->c17->c33->c157->c99->c88->c98->c132->c167->c170->c160->c130->c142->c85->c123->c194->beacon109->c153->c38->c18->c202
840.5000 MA161 1000 16 35.5000 beacon76 c202 29 N beacon76->c50->c21->c197->c16->c58->c75->c167->c170->c19->c130->c160->c100->c123->c98->beacon109->c202
848.2000 MA159 1000 11 53.2000 beacon76 c84 29 N beacon76->c50->c151->c197->c51->beacon21->c33->c203->c155->c110->beacon43->c84
848.8000 MA147 1000 20 113.8000 beacon43 c129 28 N beacon43->c206->c85->c72->c142->c123->c58->c73->c170->c67->c160->c132->c98->c124->c16->c51->c176->c171->c207->c34->c129
849.8000 MA162 1000 5 39.8000 beacon98 c172 29 N beacon98->c13->c164->c114->c28->c172
852.1000 MA148 1000 8 112.1000 beacon65 c96 28 N beacon65->c178->c173->c138->c37->c147->c209->c82->c96
862.5000 MA157 1000 21 77.5000 beacon10 c104 28 N beacon10->c39->c128->c57->c116->c157->c99->c113->c124->c58->c132->c75->c167->c170->c85->c142->c19->c14->c73->c66->c126->c104
862.9000 MA166 1000 20 32.9000 beacon32 c48 29 N beacon32->c76->c98->c202->c171->c153->c188->c150->c146->c73->c182->c23->c151->c75->c207->beacon21->c185->c197->c166->c170->c48
873.7000 MA169 1000 12 28.7000 beacon98 c158 29 N beacon98->c193->c60->c167->c24->c162->c132->c17->beacon76->c101->c50->c209->c158
900.3000 MA156 1000 9 120.3000 beacon98 c127 27 N beacon98->c13->c148->c128->c166->c140->c21->c185->c45->c127
905.9000 MA176 1000 6 25.9000 beacon76 c108 29 N beacon76->c17->c132->c165->c85->c24->c108
920.8000 MA173 1000 24 55.8000 beacon10 c19 29 N beacon10->c112->c128->c195->c136->c60->c167->c24->c162->c132->c107->c26->c185->c197->c37->c146->c18->c202->c182->c191->c138->c156->c106->c46->c19
926.1000 MA174 1000 19 56.1000 beacon98 c59 29 N beacon98->c136->c60->c162->c107->c17->c170->c48->c26->c185->c197->c37->c146->c18->c202->c151->c80->c23->c206->c59
933.0000 MA178 1000 16 43.0000 beacon43 c111 29 N beacon43->c40->c21->c80->c147->c22->c118->c117->c63->c182->c136->c134->c104->c92->beacon21->c27->c111
936.8000 MA170 1000 14 86.8000 beacon98 c103 28 N beacon98->c124->c193->c60->c167->c24->c162->c132->c107->c26->c185->c197->c166->c109->c103
939.5000 MA181 1000 25 34.5000 beacon98 c90 29 N beacon98->c81->c108->c91->c207->c107->c153->c89->c142->beacon21->c116->c168->c101->c126->c109->c188->c148->c39->c106->c147->c151->c23->c118->c63->c97->c90
