# time  ID  size  fromHost  toHost  TTL  isResponse
9177.0000 MB15 1000 bcon_B1 c186 30 N 
9184.0000 MD15 1000 bcon_D3 c44 30 N 
9202.0000 MG15 1000 bcon_G6 c69 30 N 
9215.0000 MI15 1000 bcon_I8 c97 30 N 
9219.0000 MA15 1000 bcon_A0 c126 30 N 
9230.0000 MJ15 1000 bcon_J9 c157 30 N 
9239.0000 MC15 1000 bcon_C2 c183 30 N 
9240.0000 ME15 1000 bcon_E4 c12 30 N 
9283.0000 MF15 1000 bcon_F5 c72 30 N 
9762.0000 MH16 1000 bcon_H7 c189 30 N 
9793.0000 MD16 1000 bcon_D3 c195 30 N 
9803.0000 MB16 1000 bcon_B1 c192 30 N 
9817.0000 MG16 1000 bcon_G6 c191 30 N 
9825.0000 MA16 1000 bcon_A0 c194 30 N 
9833.0000 MI16 1000 bcon_I8 c181 30 N 
9837.0000 MJ16 1000 bcon_J9 c180 30 N 
9859.0000 MC16 1000 bcon_C2 c197 30 N 
9863.0000 ME16 1000 bcon_E4 c188 30 N 
9895.0000 MF16 1000 bcon_F5 c186 30 N 
10371.0000 MH17 1000 bcon_H7 c84 30 N 
10395.0000 MD17 1000 bcon_D3 c183 30 N 
10421.0000 MG17 1000 bcon_G6 c164 30 N 
10424.0000 MB17 1000 bcon_B1 c45 30 N 
10440.0000 MA17 1000 bcon_A0 c126 30 N 
10441.0000 MJ17 1000 bcon_J9 c24 30 N 
10454.0000 MI17 1000 bcon_I8 c104 30 N 
10485.0000 ME17 1000 bcon_E4 c203 30 N 
10486.0000 MC17 1000 bcon_C2 c64 30 N 
10522.0000 MF17 1000 bcon_F5 c145 30 N 
10997.0000 MH18 1000 bcon_H7 c183 30 N 
11007.0000 MD18 1000 bcon_D3 c188 30 N 
11028.0000 MB18 1000 bcon_B1 c197 30 N 
11044.0000 MA18 1000 bcon_A0 c93 30 N 
11047.0000 MG18 1000 bcon_G6 c79 30 N 
11055.0000 MI18 1000 bcon_I8 c36 30 N 
11064.0000 MJ18 1000 bcon_J9 c140 30 N 
11099.0000 MC18 1000 bcon_C2 c107 30 N 
11103.0000 ME18 1000 bcon_E4 c65 30 N 
11132.0000 MF18 1000 bcon_F5 c168 30 N 
11617.0000 MD19 1000 bcon_D3 c20 30 N 
11622.0000 MH19 1000 bcon_H7 c169 30 N 
11648.0000 MA19 1000 bcon_A0 c201 30 N 
11656.0000 MB19 1000 bcon_B1 c182 30 N 
11669.0000 MG19 1000 bcon_G6 c187 30 N 
11680.0000 MI19 1000 bcon_I8 c125 30 N 
11684.0000 MJ19 1000 bcon_J9 c130 30 N 
11715.0000 MC19 1000 bcon_C2 c15 30 N 
11722.0000 ME19 1000 bcon_E4 c174 30 N 
